Company Code,Month year,Product Group 2 Code,Product Group 3 Code,Product Group 4 Code,Plant Code,Channel Description,FM 01_Invoices Revenue,FM 07_Gross Profit,Product Group 2 Name,Product Group 3 Name,Product Group 4 Name,GL Account Code
1000,Dec 2021,PC,PC0,PC000,1256,,-1104546,-198818,LOẠI KHÁC,LOẠI KHÁC,LOẠI KHÁC,0051190010
1000,Dec 2021,PC,PC0,PC000,1256,Retail,4462812,803306,LOẠI KHÁC,LOẠI KHÁC,LOẠI KHÁC,0051111100
1000,Dec 2021,PC,PC0,PC000,1256,Retail,-4909092,-883637,LOẠI KHÁC,LOẠI KHÁC,LOẠI KHÁC,0051190010
1000,Dec 2021,PC,PCB,PCB00,1277,Retail,756000,136080,LOẠI KHÁC,BÁN THÀNH PHẨM,BÁN THÀNH PHẨM,0051121000
1000,Dec 2021,PC,PCM,PCM00,1115,Retail,4000000,720000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1115,Retail,-4000000,-720000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1256,Retail,0,0,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1256,Retail,0,0,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1277,Retail,2500000,450000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1277,Retail,-2500000,-450000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1278,Retail,500000,90000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1278,Retail,-500000,-90000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1279,Retail,1250000,225000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1279,Retail,-1250000,-225000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1280,Retail,500000,90000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1280,Retail,-500000,-90000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1295,Retail,250000,45000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1295,Retail,-250000,-45000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1307,Retail,750000,135000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1307,Retail,-750000,-135000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1308,Retail,1000000,180000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1308,Retail,-1000000,-180000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1314,Retail,3457475,622346,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1314,Retail,-3457475,-622346,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1316,Retail,4250000,765000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Dec 2021,PC,PCM,PCM00,1316,Retail,-4250000,-765000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Dec 2021,PC,PCM,PCM00,1317,Retail,2000000,360000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
