<<<<<<< HEAD
﻿Company Code,Month year,Product Group 2 Code,Product Group 3 Code,Product Group 4 Code,Plant Code,Channel Description,FM 01_Invoices Revenue,FM 07_Gross Profit,Product Group 2 Name,Product Group 3 Name,Product Group 4 Name,GL Account Code
1000,Aug 2022,PB,PBF,PBFJO,1277,Retail,718182,251364,DÂY ĐỒNG HỒ,FEMALE,JOWISSA,0051111100
1000,Aug 2022,PC,PCB,PCB00,1373,Retail,280000,50400,LOẠI KHÁC,BÁN THÀNH PHẨM,BÁN THÀNH PHẨM,0051121000
1000,Aug 2022,PC,PCM,PCM00,1013,Retail,532000,95760,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Aug 2022,PC,PCM,PCM00,1256,Retail,136364,24546,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Aug 2022,PC,PCM,PCM00,1294,Retail,300000,54000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Aug 2022,PC,PCM,PCM00,1294,Retail,-300000,-54000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Aug 2022,PC,PCM,PCM00,1314,Retail,150000,27000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Aug 2022,PC,PCM,PCM00,1314,Retail,-150000,-27000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Aug 2022,PC,PCM,PCM00,1330,Retail,3753387,675610,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Aug 2022,PC,PCM,PCM00,1330,Retail,-3753387,-675610,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Aug 2022,PC,PCM,PCM00,1376,Retail,150000,27000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Aug 2022,PC,PCM,PCM00,1376,Retail,-150000,-27000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Aug 2022,PC,PCM,PCM00,1493,Retail,150000,27000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Aug 2022,PC,PCM,PCM00,1493,Retail,-150000,-27000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Aug 2022,PC,PCM,PCM00,1504,Retail,485018,87303,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051121000
1000,Aug 2022,PC,PCM,PCM00,1534,Retail,918636,165354,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Aug 2022,PC,PCM,PCM00,1539,Retail,15125865,2722656,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Aug 2022,PC,PCM,PCM00,1541,Retail,4958800,892584,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Aug 2022,PC,PCM,PCM00,1541,Retail,-4958800,-892584,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Aug 2022,PC,PCS,PCS00,1115,Online,378818,68187,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1115,Retail,2294761,413057,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1255,Retail,2051148,369207,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1255,Retail,1430769,257538,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1256,Retail,3721207,669817,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1256,Retail,2556700,460206,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1277,Retail,2700000,486000,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1277,Retail,818182,147273,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1278,Retail,630000,113400,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1278,Retail,181818,32727,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1279,Retail,90909,16364,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1280,Retail,790000,142200,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1294,Retail,17618,3171,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1294,Retail,1456364,262146,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1295,Retail,1190263,214247,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1308,Retail,440000,79200,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1314,Online,1348464,242724,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1314,Retail,1510000,271800,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1316,Retail,690000,124200,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1316,Retail,60800,10944,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1317,Online,272727,49091,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1317,Retail,120000,21600,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1317,Retail,3190909,574364,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1318,Retail,70000,12600,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1329,Retail,380000,68400,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1330,Retail,1126280,202730,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1370,Retail,140000,25200,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Aug 2022,PC,PCS,PCS00,1370,Retail,640718,115329,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1373,Online,1875072,337513,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Aug 2022,PC,PCS,PCS00,1373,Retail,5353520,963634,LOẠI KHÁC,SERVICE,SERVICE,0051131000
