Company Code,Month year,Product Group 2 Code,Product Group 3 Code,Product Group 4 Code,Plant Code,Channel Description,FM 01_Invoices Revenue,FM 07_Gross Profit,Product Group 2 Name,Product Group 3 Name,Product Group 4 Name,GL Account Code
1000,Jan 2024,PC,PCM,PCM00,1013,Retail,24500000,4410000,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051112300
1000,Jan 2024,PC,PCM,PCM00,1316,Retail,703704,126667,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Jan 2024,PC,PCM,PCM00,1316,Retail,-760000,-136800,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Jan 2024,PC,PCM,PCM00,1532,Retail,458600,82548,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Jan 2024,PC,PCM,PCM00,1532,Retail,-495288,-89152,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Jan 2024,PC,PCM,PCM00,1534,Retail,63009,11342,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Jan 2024,PC,PCM,PCM00,1534,Retail,-68050,-12249,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Jan 2024,PC,PCM,PCM00,1548,Retail,229300,41274,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Jan 2024,PC,PCM,PCM00,1548,Retail,-247644,-44576,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Jan 2024,PC,PCM,PCM00,1579,Retail,569711,102548,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051111100
1000,Jan 2024,PC,PCM,PCM00,1579,Retail,-615288,-110752,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0051190010
1000,Jan 2024,PC,PCS,PCS00,1115,Online,66218,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1115,Retail,3430000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1115,Retail,4134609,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1255,Online,412127,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1255,Retail,2754207,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1255,Retail,2840972,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1255,Retail,219310,,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1256,Online,1375442,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1256,Retail,8931022,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1256,Retail,2126443,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1256,Retail,143536,,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1277,Online,1284545,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1277,Retail,15312706,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1277,Retail,13001857,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1278,Online,141627,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1278,Retail,2360000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1280,Retail,4023000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1280,Retail,4213636,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1280,Retail,45040,,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1294,Online,283600,,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1294,Retail,2867772,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1295,Retail,898273,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1295,Retail,280156,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
