Company Code,Month year,Plant Code,GL Account Code,FM 08_Finance Income,FM 09_Finance Expenses,FM 14_Other Income,FM 15_Other Expenses
1000,Jan 2021,1013,0071100200,,,-642313,
1000,Jan 2021,1115,0071100200,,,248163,
1000,Jan 2021,1256,0071100200,,,441000,
1000,Jan 2021,1256,0081100200,,,,-4292193
1000,Jan 2021,1277,0063580000,,-2276511,,
1000,Jan 2021,1277,0071100200,,,3893027,
1000,Jan 2021,1277,0081100200,,,,-2096380
1000,Jan 2021,1278,0071100200,,,907420,
1000,Jan 2021,1279,0063580000,,-1223082,,
1000,Jan 2021,1279,0071100200,,,440,
1000,Jan 2021,1294,0071100200,,,84547,
1000,Jan 2021,1294,0081100200,,,,-456500
1000,Jan 2021,1295,0071100200,,,6496723,
1000,Jan 2021,1306,0071100200,,,2828,
1000,Jan 2021,1306,0081100200,,,,-1414
1000,Jan 2021,1307,0071100200,,,630,
1000,Jan 2021,1308,0063580000,,-293953,,
1000,Jan 2021,1314,0063580000,,-4389990,,
1000,Jan 2021,1314,0071100200,,,1183059,
1000,Jan 2021,1314,0081100200,,,,-1084600
1000,Jan 2021,1316,0063580000,,-4856792,,
1000,Jan 2021,1316,0071100200,,,1011130,
1000,Jan 2021,1316,0081100200,,,,-105000
1000,Jan 2021,1318,0063580000,,-264795,,
1000,Jan 2021,1318,0071100200,,,1531,
1000,Jan 2021,1318,0081100200,,,,-215000
1000,Jan 2021,1330,0071100200,,,1680036,
1000,Jan 2021,1330,0081100200,,,,-435000
1000,Jan 2021,1370,0063580000,,-1437800,,
1000,Jan 2021,1370,0071100200,,,807842,
1000,Jan 2021,1370,0081100200,,,,-596600
1000,Jan 2021,1373,0071100200,,,1415571,
1000,Jan 2021,1373,0081100200,,,,-3843000
1000,Jan 2021,1376,0071100200,,,1605401,
1000,Jan 2021,1376,0081100200,,,,-385500
1000,Jan 2021,1401,0071100200,,,95119,
1000,Jan 2021,1401,0081100200,,,,-55000
1000,Jan 2021,1402,0071100200,,,6807,
1000,Jan 2021,1402,0081100200,,,,-1837500
1000,Jan 2021,1404,0071100200,,,25778,
1000,Jan 2021,1404,0081100200,,,,-83000
1000,Jan 2021,1405,0071100200,,,632,
1000,Jan 2021,1417,0071100200,,,247000,
1000,Jan 2021,1417,0081100200,,,,-28000
1000,Jan 2021,1445,0071100200,,,460808,
1000,Jan 2021,1445,0081100200,,,,-80000
1000,Jan 2021,1447,0063580000,,-5535948,,
1000,Jan 2021,1447,0071100200,,,2106623,
1000,Jan 2021,1447,0081100200,,,,-1887900
1000,Jan 2021,1473,0071100200,,,430758,
1000,Jan 2021,1473,0081100200,,,,-600
1000,Jan 2021,1489,0063580000,,-1061475,,
1000,Jan 2021,1489,0071100200,,,1377023,
1000,Jan 2021,1489,0081100200,,,,-458000
1000,Jan 2021,1493,0071100200,,,1136,
1000,Jan 2021,400000,0051510000,878001,,,
1000,Jan 2021,400000,0071100200,,,22420,
1000,Jan 2021,400000,0081100200,,,,-1925969
1000,Feb 2021,1013,0071100200,,,-9773,
1000,Feb 2021,1115,0071100200,,,452700,
1000,Feb 2021,1255,0071100200,,,1131151,
1000,Feb 2021,1256,0063580000,,-1749161,,
1000,Feb 2021,1256,0071100200,,,730000,
1000,Feb 2021,1256,0081100200,,,,-145000
1000,Feb 2021,1277,0063580000,,-3332776,,
1000,Feb 2021,1277,0071100200,,,1335198,
1000,Feb 2021,1277,0081100200,,,,-186218
1000,Feb 2021,1278,0081100200,,,,-880
1000,Feb 2021,1279,0071100200,,,1000,
1000,Feb 2021,1280,0071100200,,,25000,
1000,Feb 2021,1294,0071100200,,,190510,
1000,Feb 2021,1294,0081100200,,,,-40000
1000,Feb 2021,1295,0063580000,,-170544,,
1000,Feb 2021,1295,0071100200,,,2000,
1000,Feb 2021,1306,0071100200,,,1308,
1000,Feb 2021,1307,0071100200,,,1031642,
1000,Feb 2021,1308,0071100200,,,5001,
1000,Feb 2021,1314,0063580000,,-319994,,
1000,Feb 2021,1314,0071100200,,,198997,
1000,Feb 2021,1314,0081100200,,,,-326000
1000,Feb 2021,1316,0063580000,,-350423,,
1000,Feb 2021,1316,0071100200,,,1321880,
1000,Feb 2021,1316,0081100200,,,,-63000
1000,Feb 2021,1317,0071100200,,,29000,
1000,Feb 2021,1318,0063580000,,-1714020,,
1000,Feb 2021,1318,0071100200,,,5121,
1000,Feb 2021,1318,0081100200,,,,-96930
1000,Feb 2021,1329,0071100200,,,1280601,
1000,Feb 2021,1330,0071100200,,,587328,
1000,Feb 2021,1330,0081100200,,,,-2250500
1000,Feb 2021,1370,0063580000,,-771375,,
1000,Feb 2021,1370,0071100200,,,314924,
1000,Feb 2021,1370,0081100200,,,,-20000
1000,Feb 2021,1373,0063580000,,-3193932,,
1000,Feb 2021,1373,0071100200,,,439482,
1000,Feb 2021,1373,0081100200,,,,-573500
1000,Feb 2021,1376,0063580000,,-1485807,,
1000,Feb 2021,1376,0071100200,,,1338182,
1000,Feb 2021,1376,0081100200,,,,-20270
1000,Feb 2021,1401,0071100200,,,86556,
1000,Feb 2021,1402,0071100200,,,223800,
1000,Feb 2021,1402,0081100200,,,,-670
1000,Feb 2021,1404,0071100200,,,12099,
1000,Feb 2021,1409,0071100200,,,540,
1000,Feb 2021,1417,0071100200,,,102251,
1000,Feb 2021,1445,0071100200,,,712317,
1000,Feb 2021,1447,0063580000,,-1816435,,
1000,Feb 2021,1447,0071100200,,,688933,
1000,Feb 2021,1447,0081100200,,,,-364500
1000,Feb 2021,1470,0071100200,,,28280,
1000,Feb 2021,1470,0081100200,,,,-10
1000,Feb 2021,1473,0063580000,,-258168,,
1000,Feb 2021,1473,0071100200,,,219824,
1000,Feb 2021,1473,0081100200,,,,-60790
1000,Feb 2021,1477,0071100200,,,150,
1000,Feb 2021,1489,0063580000,,-557535,,
1000,Feb 2021,1489,0071100200,,,497542,
1000,Feb 2021,1489,0081100200,,,,-39500
1000,Feb 2021,1493,0071100200,,,13328,
1000,Feb 2021,1493,0081100200,,,,-2122
1000,Feb 2021,400000,0051510000,2015061,,,
1000,Feb 2021,400000,0071100200,,,2249559,
1000,Mar 2021,1013,0071100200,,,652086,
1000,Mar 2021,1013,0081100200,,,,-976415
1000,Mar 2021,1115,0071100200,,,1000000,
1000,Mar 2021,1115,0081100200,,,,-50706
1000,Mar 2021,1255,0063580000,,-287232,,
1000,Mar 2021,1255,0071100200,,,700300,
1000,Mar 2021,1256,0063580000,,-4205930,,
1000,Mar 2021,1256,0071100200,,,5894750,
