Company Code,Month year,Plant Code,GL Account Code,FM 08_Finance Income,FM 09_Finance Expenses,FM 14_Other Income,FM 15_Other Expenses
1000,Jan 2024,1013,0071100200,,,7192946,
1000,Jan 2024,1115,0063580000,,-8993451,,
1000,Jan 2024,1115,0071100200,,,6024201,
1000,Jan 2024,1115,0081100200,,,,-6061171
1000,Jan 2024,1255,0063580000,,-1736620,,
1000,Jan 2024,1255,0071100200,,,1360,
1000,Jan 2024,1255,0081100200,,,,-700
1000,Jan 2024,1256,0063580000,,-13507117,,
1000,Jan 2024,1256,0071100200,,,7796738,
1000,Jan 2024,1256,0081100200,,,,-1002412
1000,Jan 2024,1277,0051580000,0,,,
1000,Jan 2024,1277,0063580000,,-19888246,,
1000,Jan 2024,1277,0071100200,,,4347238,
1000,Jan 2024,1277,0081100200,,,,-918354
1000,Jan 2024,1278,0063580000,,-253455,,
1000,Jan 2024,1278,0071100200,,,1804226,
1000,Jan 2024,1278,0081100200,,,,-676
1000,Jan 2024,1280,0063580000,,-5211800,,
1000,Jan 2024,1280,0071100200,,,5599,
1000,Jan 2024,1294,0071100200,,,550327,
1000,Jan 2024,1295,0063580000,,-983076,,
1000,Jan 2024,1295,0071100200,,,1872790,
1000,Jan 2024,1307,0063580000,,-959616,,
1000,Jan 2024,1307,0071100200,,,227697,
1000,Jan 2024,1307,0081100200,,,,-1728
1000,Jan 2024,1308,0071100200,,,844000,
1000,Jan 2024,1314,0071100200,,,1136724,
1000,Jan 2024,1314,0081100200,,,,-1272
1000,Jan 2024,1316,0063580000,,-18878236,,
1000,Jan 2024,1316,0071100200,,,10779294,
1000,Jan 2024,1316,0081100200,,,,-4630817
1000,Jan 2024,1317,0071100200,,,10951373,
1000,Jan 2024,1317,0081100200,,,,-2380
1000,Jan 2024,1318,0063580000,,-1497723,,
1000,Jan 2024,1318,0071100200,,,2029056,
1000,Jan 2024,1318,0081100200,,,,-2187
1000,Jan 2024,1329,0071100200,,,171432,
1000,Jan 2024,1330,0063580000,,-1202109,,
1000,Jan 2024,1330,0071100200,,,2049009,
1000,Jan 2024,1330,0081100200,,,,-310160
1000,Jan 2024,1370,0063580000,,-5832838,,
1000,Jan 2024,1370,0071100200,,,5871195,
1000,Jan 2024,1373,0063580000,,-3457002,,
1000,Jan 2024,1373,0071100200,,,4069991,
1000,Jan 2024,1373,0081100200,,,,-2270
1000,Jan 2024,1376,0063580000,,-486875,,
1000,Jan 2024,1376,0071100200,,,1176679,
1000,Jan 2024,1376,0081100200,,,,-1813333
1000,Jan 2024,1401,0071100200,,,7060723,
1000,Jan 2024,1401,0081100200,,,,-4969658
1000,Jan 2024,1402,0063580000,,-491487,,
1000,Jan 2024,1402,0071100200,,,337797,
1000,Jan 2024,1402,0081100200,,,,-13000
1000,Jan 2024,1404,0063580000,,-298084,,
1000,Jan 2024,1404,0071100200,,,34593665,
1000,Jan 2024,1404,0081100200,,,,-1340
1000,Jan 2024,1405,0063580000,,-1586392,,
1000,Jan 2024,1405,0071100200,,,17865,
1000,Jan 2024,1405,0081100200,,,,-3110
1000,Jan 2024,1409,0071100200,,,601380,
1000,Jan 2024,1445,0063580000,,-9961242,,
1000,Jan 2024,1445,0071100200,,,3041271,
1000,Jan 2024,1447,0063580000,,-5347109,,
1000,Jan 2024,1447,0071100200,,,4944427,
1000,Jan 2024,1447,0081100200,,,,-154023
1000,Jan 2024,1467,0071100200,,,912,
1000,Jan 2024,1470,0071100200,,,81001,
1000,Jan 2024,1473,0063580000,,-4380981,,
1000,Jan 2024,1473,0071100200,,,553393,
1000,Jan 2024,1473,0081100200,,,,-498
1000,Jan 2024,1477,0081100200,,,,-149
1000,Jan 2024,1489,0063580000,,-5873314,,
1000,Jan 2024,1489,0071100200,,,3452262,
1000,Jan 2024,1489,0081100200,,,,-9063167
1000,Jan 2024,1493,0063580000,,-11193060,,
1000,Jan 2024,1493,0071100200,,,51213,
1000,Jan 2024,1493,0081100200,,,,-2190
1000,Jan 2024,1504,0063580000,,-6124402,,
1000,Jan 2024,1504,0071100200,,,5148199,
1000,Jan 2024,1504,0081100200,,,,-199075
1000,Jan 2024,1516,0063580000,,-10625020,,
1000,Jan 2024,1516,0071100200,,,1504817,
1000,Jan 2024,1516,0081100200,,,,-949
